msr_id,city,state
10268800804244,SAO GONCALO,RJ
420877039731,RIO DE JANEIRO,RJ
417345315012,CURITIBA,PR
4872099137428,PORTO ALEGRE,RS
377363714051,UBATUBA,SP
10706951055124,AMERICA DOURADA,BA
5758917755796,SAO BERNARDO DO CAMPO,SP
6251503331860,BONFINOPOLIS DE MINAS,MG
377363703531,RIBEIRAO PRETO,SP
411015128632,RIO DE JANEIRO,RJ
1902168847247,MARINGA,PR
406904234412,PELOTAS,RS
407330054392,MANAUS,AM
13090034302356,TRES RIOS,RJ
16113130634772,HORTOLANDIA,SP
377360329591,RIO DE JANEIRO,RJ
401255962412,IPATINGA,MG
377300012352,BETIM,MG
405306476751,RIO DE JANEIRO,RJ
377293947592,CUIABA,MT
404186279191,GOV. VALADARES,MG
16576377523220,ARACAJU,SE
377300596772,BRASILIA,DF
379082290951,JANDIRA,SP
417089654531,BRASILIA,DF
19583953561236,SANTO ANDRE,SP
18420642675732,RIO DE JANEIRO,RJ
386025478151,CHAPECO,SC
424253141991,SAO JOSE,SC
8569317000212,CATANDUVA,SP
420686333152,FEIRA DE SANTANA,BA
420856284032,RIO DO SUL,SC
28642684631060,RIO DE JANEIRO,RJ
417094160331,PINHAIS,PR
411488852931,OSASCO,SP
25559568664596,RIO DE JANEIRO,RJ
14633832011668,PELOTAS,RS
377293725532,FORTALEZA,CE
418115535972,JOINVILLE,SC
9532977186324,ITAOCARA,RJ
377300814692,SAO PAULO,SP
5735668273940,LAGES,SC
377363690371,BRASILIA,DF
406956864652,NITEROI,RJ
418142939151,FORTALEZA,CE
9294831933332,ALVORADA,RS
420461876551,ITAPECERICA DA SERRA,SP
416742240392,SAO PAULO,SP
13833423602068,RIO DE JANEIRO,RJ
24384253323540,SOMBRIO,SC
404592624931,RIO DE JANEIRO,RJ
403430512171,NOVA IGUACU,RJ
377363800851,BELO HORIZONTE,MG
7273197845780,SAO PAULO,SP
24823009032340,CHAPECO,SC
25347414039956,CARIACICA,ES
389654320852,RONDONOPOLIS,MT
416836867092,NOVA FRIBURGO,RJ
8165043803284,PORTO ALEGRE,RS
7905359851540,MATINHOS,PR
1900482050087,LONDRINA,PR
8915193523860,SANTOS,SP
8144462835860,RIBEIRAO PRETO,SP
388438968751,GUARULHOS,SP
419152879891,SALVADOR,BA
10242089092116,JUIZ DE FORA,MG
10078659530516,RIO DE JANEIRO,RJ
7272896991764,SAO PAULO,SP
418048152451,SERRA DO SALITRE,MG
420472550411,VITORIA DA CONQUISTA,BA
412420431111,SAO PAULO,SP
1903578073647,NOVA VICOSA,BA
27548552898324,SALVADOR,BA
22633675802900,CAMACARI,BA
27888067807508,RIO DE JANEIRO,RJ
6058982425620,BELEM,PA
421381931651,SAO PAULO,SP
377353597791,PERUIBE,SP
403198691611,SAO PAULO,SP
420489314751,RIO DE JANEIRO,RJ
417494269812,BARUERI,SP
410004365192,BALNEARIO GAIVOTA,SC
7469345034516,SALVADOR,BA
399168131771,SUZANO,SP
377300765092,RESENDE COSTA,MG
403099164392,RIO DE JANEIRO,RJ
406110719111,SAO PAULO,SP
1905515345407,SAO JOAO DE MERITI,RJ
377363690071,PAULISTA,PE
392787402872,LORENA,SP
419660074691,REGENTE FEIJO,SP
407920698951,MANAUS,AM
377300600692,RIBEIRAO PIRES,SP
1902513390807,SAO JOAO DO MANHUACU,MG
1904774770267,MACEIO,AL
404332473792,PAULINIA,SP
408531954311,MARA ROSA,GO
400104996011,BELO HORIZONTE,MG
401581388751,RIO DE JANEIRO,RJ
377300652252,SAO PAULO,SP
377300853832,COLOMBO,PR
1905660785187,RIO DE JANEIRO,RJ
377335707132,PELOTAS,RS
17624982551572,IGREJINHA,RS
420740784671,RIO DE JANEIRO,RJ
22978655195028,BELO HORIZONTE,MG
1905566820067,SAO PAULO,SP
399112005952,SOROCABA,SP
420308905252,REDENCAO,CE
11434404917780,SIQUEIRA CAMPOS,PR
420308905812,SOLEDADE,RS
1903393008827,MOGI DAS CRUZES,SP
27524678223252,SAO JOSE DOS CAMPOS,SP
415689778171,SALVADOR,BA
377300942952,BELO HORIZONTE,MG
406664823932,VOTUPORANGA,SP
404226999831,SAO GONCALO,RJ
403000452572,RIO DE JANEIRO,RJ
399173317811,SAO PAULO,SP
408901568612,ITANHAEM,SP
26412413857556,RECIFE,PE
26831731295892,ALM. TAMANDARE,PR
1903625243507,APARECIDA DE GOIANIA,GO
406012287051,CATANDUVA,SP
421773234212,FERRAZ DE VASCONCELOS,SP
24748393500948,SAO PEDRO DA ALDEIA,RJ
27357771349524,ILHA COMPRIDA,SP
26131121360916,SALVADOR,BA
24437885493396,BELO HORIZONTE,MG
412568926052,MEDEIROS,MG
410106347031,BELO HORIZONTE,MG
24091580035732,IBIRITE,MG
377639542751,SERRA,ES
410006075252,FRANCISCO BELTRAO,PR
9353721446420,MARINGA,PR
25459534871316,RIO DE JANEIRO,RJ
416685262331,NOVA FRIBURGO,RJ
6065769329428,TERESINA,PI
21390372052756,SOROCABA,SP
13794969975060,CANOAS,RS
380353568391,SAO PAULO,SP
420472550211,SAO PAULO,SP
5713614368532,SAO LUIS,MA
25993044805268,SAO PAULO,SP
22061536149524,GRAVATAI,RS
7945225399572,GOIANIA,GO
20223211467412,CANGUCU,RS
377360130671,FORTALEZA,CE
27787717177236,BRASILIA,DF
407919706252,CURITIBA,PR
8364248165012,SANTA RITA,PB
5181723636244,TAQUARA,RS
401443278812,ARACAJU,SE
401738523032,SAO PAULO,SP
20535316524564,FLORIANOPOLIS,SC
408957371072,BRASILIA,DF
25881641653012,GUARULHOS,SP
25966507135252,BELO HORIZONTE,MG
1904999903187,POA,SP
389233169952,SAO PAULO ,SP
1904917217647,SAO PAULO,SP
410193687891,SAO PAULO,SP
14705281973524,SAO PAULO,SP
422033619191,ESTEIO,RS
401638497731,ITAPEVI,SP
26883716276116,FAZENDA RIO GRANDE,PR
377293986852,CAMPINA GRANDE,PB
415689438351,BRASILIA,DF
9665860008980,BRASILIA,DF
403811107232,SAO PAULO,SP
26546535342484,TAUBATE,SP
423513135631,JACOBINA,BA
383602371752,SAO PAULO,SP
14426515287188,LONDRINA,PR
423566030272,SAO GONCALO,RJ
393957198231,SAO PAULO,SP
24726360502420,SAO PAULO,SP
13576649567124,RIO DE JANEIRO,RJ
405418316371,SAO JOAO DE MERITI,RJ
25124375943316,RIO DE JANEIRO,RJ
15424756032148,SAO LEOPOLDO,RS
377363017431,BELO HORIZONTE,MG
410105707671,BELO HORIZONTE,MG
400992871972,SAO PAULO,SP
8170995784980,SAO PAULO,SP
422392367691,PETROPOLIS,RJ
26685719588372,SAO THOME DAS LETRAS,MG
7273668653972,ARMACAO DOS BUZIOS,RJ
15328604745492,RIO DE JANEIRO,RJ
8532150794900,BELEM,PA
406395388611,ARARUAMA,RJ
10435559435540,SAO PAULO,SP
420331497772,GOIANIA,GO
412528216651,VIRGOLANDIA,MG
20500029785748,MARINGA,PR
20163680088084,SANTO ANTONIO DO SUDOESTE,PR
409736459271,SAO PAULO,SP
377363757331,PORTO ALEGRE,RS
423868044151,DRACENA,SP
418254779792,FORMIGA,MG
19595401799188,ITAQUAQUECETUBA,SP
21929697278996,SAO PAULO,SP
16397187576468,SALTO,SP
1901921127567,TERESINA,PI
422305217572,CONCORDIA,SC
421957700131,GOIANIA,GO
399106491092,FORTALEZA,CE
28080741663380,SAO PAULO,SP
15230394383636,SAO PAULO,SP
27763282902292,LONDRINA,PR
28405482088212,RIO DE JANEIRO,RJ
377297015452,NILOPOLIS,RJ
410253835412,FEIRA DE SANTANA,BA
401000865592,SUZANO,SP
407370789712,ARACAJU,SE
1901921127927,ITAGUARU,GO
415689830011,BRASILIA,DF
25588478554388,RECIFE,PE
393437934791,SAO GONCALO,RJ
422962573632,FORTALEZA,CE
1904239736907,TABOAO DA SERRA,SP
407878184871,JOAO PESSOA,PB
7783032457620,SAO VICENTE,SP
24409125190676,JOAO PESSOA,PB
420981642451,ESTEIO,RS
23515687343380,COLOMBO,PR
378565412832,CUIABA,MT
11083117077012,APARECIDA DE GOIANIA,GO
377302116232,SAO CARLOS,SP
24268340000532,RIO DE JANEIRO,RJ
377360233771,VITORIA DA CONQUISTA,BA
20669522736532,PALHOCA,SC
17571560566548,BELO HORIZONTE,MG
24214857623444,SAO CARLOS,SP
394760620972,SAO PAULO,SP
1900525646247,SAO JOSE DOS CAMPOS,SP
1904861910287,IBIPORA,PR
400039308071,CAXIAS DO SUL,RS
26685536617236,FORTALEZA,CE
4694422948628,SALVADOR,BA
419495366371,RIO DE JANEIRO,RJ
14426515286804,GOIANIA,GO
412475972132,HORIZONTE,CE
13117601845780,TABOAO DA SERRA,SP
1903627304147,SAO PAULO,SP
418228813451,BELO HORIZONTE,MG
408492724731,SAO PAULO,SP
386567952952,SAO PAULO,SP
15428745219988,BELO HORIZONTE,MG
403892436092,VITORIA,ES
402262196312,ILHEUS,BA
1900329120227,CARAPICUIBA,SP
400796159751,AGUAS LINDAS DE GOIAS,GO
417437124812,PAICANDU,PR
377300503252,MACEIO,AL
419161108952,CABEDELO,PB
13090099547284,RESENDE,RJ
401801353991,CURITIBA,PR
418636281551,MACEIO,AL
24966373271572,IGARASSU,PE
1902710116327,RIO DE JANEIRO,RJ
28157935770260,EMBU DAS ARTES,SP
26274248058644,PORTO ALEGRE,RS
13363820201492,BELO HORIZONTE,MG
377360117571,UBERLANDIA,MG
378565412432,SAO PAULO,SP
389664751991,SAO PAULO,SP
377363685311,BRASILIA,DF
399109030132,RIO DE JANEIRO,RJ
18926141740180,RIO CLARO,SP
417310364711,JATAI,GO
405888071711,BELO HORIZONTE,MG
421981917272,FERRAZ DE VASCONCELOS,SP
384326970452,NATAL,RN
407431030131,SOLEDADE DE MINAS,MG
385023105431,RECIFE,PE
10225783736212,CANOAS,RS
399106405392,FEIRA DE SANTANA,BA
1903918509187,FORTALEZA,CE
424202591151,SAO PAULO,SP
8063752560020,CACAPAVA,SP
401468913911,BRASILIA,DF
399346198392,SAO PAULO,SP
8283974046356,JOAO PESSOA,PB
378612014852,BELO HORIZONTE,MG
15471538987540,RIO DE JANEIRO,RJ
11257407979796,FOZ DO IGUACU,PR
23135031048468,RIO DE JANEIRO,RJ
23112205010324,CIDREIRA,RS
15690823608596,CACHOEIRAS DE MACACU,RJ
422193927371,TERESINA,PI
1901921133147,SAO GONCALO,RJ
377363484351,SAO PAULO,SP
10139337691668,SAO PAULO,SP
423604523171,PORTO ALEGRE,RS
1901761112647,CONTAGEM,MG
19021226669204,SAO PAULO,SP
10850254740500,PINHALZINHO,SP
377363531311,SAO PAULO,SP
27138673146132,RIO DE JANEIRO,RJ
4532943441428,ARAPIRACA,AL
10666545496468,SAO PAULO,SP
377360358391,BRASILIA,DF
421957699771,NITEROI,RJ
401786525931,ANDRADAS,MG
399777733131,SAO PAULO,SP
